时间,温度,相对湿度RH（%）
   00:01:25,17.9,76.8
   00:06:25,17.8,76.1
   00:11:25,17.8,77.3
   00:16:25,17.8,75.8
   00:21:25,17.7,75.9
   00:26:25,17.7,75.9
   00:31:25,17.7,76.5
   00:36:25,17.6,77.1
   00:41:25,17.6,76.9
   00:46:25,17.6,77.8
   00:51:25,17.6,76.3
   00:56:25,17.6,76.2
   01:01:25,17.6,75.5
   01:06:25,17.6,74.9
   01:11:25,17.6,75.8
   01:16:25,17.5,76.7
   01:21:25,17.4,76.9
   01:26:25,17.4,78
   01:31:25,17.3,78.4
   01:36:25,17.2,79.1
   01:41:25,17.1,78.9
   01:46:25,17.1,79.6
   01:51:25,17,80.3
   01:56:25,16.9,80.7
   02:01:25,16.9,81.2
   02:06:25,16.8,82.2
   02:11:25,16.7,82.4
   02:16:25,16.6,82.8
   02:21:25,16.6,83
   02:26:25,16.5,83.5
   02:31:25,16.5,83.7
   02:36:25,16.4,83.6
   02:41:25,16.3,84.6
   02:46:25,16.2,85.4
   02:51:25,16.1,85.5
   02:56:25,16.1,85.8
   03:01:25,16,86.5
   03:06:25,16,86.3
   03:11:25,15.9,88
   03:16:25,15.9,87.8
   03:21:25,15.8,88.3
   03:26:25,15.8,89.3
   03:31:25,15.8,90
   03:36:25,15.7,89.4
   03:41:25,15.6,89.5
   03:46:25,15.6,90.4
   03:51:25,15.6,89.9
   03:56:25,15.5,91.1
   04:01:25,15.4,89.7
   04:06:25,15.4,91.1
   04:11:25,15.4,90.1
   04:16:25,15.3,90.6
   04:21:25,15.3,90.2
   04:26:25,15.3,90.9
   04:31:25,15.3,90.9
   04:36:25,15.2,90.7
   04:41:25,15.2,91.7
   04:46:25,15.2,92
   04:51:25,15.2,92.3
   04:56:25,15.2,93
   05:01:25,15.2,92.6
   05:06:25,15.2,92.9
   05:11:25,15.2,93.3
   05:16:25,15.2,93.3
   05:21:25,15.2,92.8
   05:26:25,15.2,93
   05:31:25,15.4,94.2
   05:36:25,15.4,93.6
   05:41:25,15.6,93.7
   05:46:25,15.7,94.3
   05:51:25,15.8,94
   05:56:25,16,94.1
   06:01:25,16.2,94.2
   06:06:25,16.4,94.5
   06:11:25,16.7,94.8
   06:16:25,17,95
   06:21:25,17.3,93.2
   06:26:25,17.6,92.4
   06:31:25,17.8,90.7
   06:36:25,18,90.6
   06:41:25,18.2,90.4
   06:46:25,18.4,90.3
   06:51:25,18.7,89.2
   06:56:25,19,88
   07:01:25,19.5,86.9
   07:06:25,20,82.6
   07:11:25,20.5,79.1
   07:16:25,21.1,77.6
   07:21:25,21.4,74.9
   07:26:25,21.6,68.4
   07:31:25,22.2,68.4
   07:36:25,22.7,62.3
   07:41:25,23.1,65.1
   07:46:25,23.2,61.4
   07:51:25,23.3,59
   07:56:25,23.4,56.1
   08:01:25,23.6,60.5
   08:06:25,23.8,61.3
   08:11:25,23.9,59.2
   08:16:25,23.9,56.6
   08:21:25,24.2,55.5
   08:26:25,24.9,56.3
   08:31:25,25.6,51.7
   08:36:25,26.1,49.5
   08:41:25,26.3,42.7
   08:46:25,26.3,47.9
   08:51:25,26.3,46.4
   08:56:25,26.5,46.7
   09:01:25,26.7,43.3
   09:06:25,27.3,44.1
   09:11:25,27.6,45.4
   09:16:25,27.9,46.5
   09:21:25,28.5,43.5
   09:26:25,29.3,41.6
   09:31:25,30.1,42.9
   09:36:25,30.3,41
   09:41:25,30.6,40.3
   09:46:25,30.7,38.5
   09:51:25,30.5,40.8
   09:56:25,30.6,40.1
   10:01:25,30.7,37.9
   10:06:25,30.7,39.5
   10:11:25,31,40.3
   10:16:25,31.3,38
   10:21:25,31.4,35.3
   10:26:25,31.9,37.2
   10:31:25,33.8,36.5
   10:36:25,35.1,35.4
   10:41:25,34.6,32.6
   10:46:25,34.2,31.2
   10:51:25,34.3,34.9
   10:56:25,34.7,31.9
   11:01:25,35.4,32.4
   11:06:25,36.6,31.4
   11:11:25,36.5,28.6
   11:16:25,36.1,29.5
   11:21:25,35.5,30.1
   11:26:25,35.4,28.7
   11:31:25,35.1,29.9
   11:36:25,34.5,32
   11:41:25,34.4,32.9
   11:46:25,34,33.3
   11:51:25,33.9,31.9
   11:56:25,34,30.1
   12:01:25,34.2,29.3
   12:06:25,34.7,29.6
   12:11:25,34.8,27.7
   12:16:25,34.7,32.3
   12:21:25,34.6,30.3
   12:26:25,34.6,32.6
   12:31:25,34.8,27.1
   12:36:25,35.1,29.9
   12:41:25,34.4,28.2
   12:46:25,33.9,31.1
   12:51:25,33,28.5
   12:56:25,33.1,30.8
   13:01:25,33.2,31.9
   13:06:25,33.5,31.8
   13:11:25,33.7,34.9
   13:16:25,33.8,32
   13:21:25,33.6,29.5
   13:26:25,34,30.6
   13:31:25,34.9,31.1
   13:36:25,35.4,29.9
   13:41:25,35.2,26.8
   13:46:25,34.7,26
   13:51:25,34.5,30.5
   13:56:25,34.4,31
   14:01:25,34.5,29
   14:06:25,34.4,27.9
   14:11:25,34.5,31.3
   14:16:25,34.5,31
   14:21:25,34.1,29.3
   14:26:25,33.4,28.5
   14:31:25,33.4,31.7
   14:36:25,33.4,32.9
   14:41:25,33.2,33
   14:46:25,32.6,33.9
   14:51:25,32.2,33.1
   14:56:25,31.7,30.5
   15:01:25,31.6,34.3
   15:06:25,31.3,35.3
   15:11:25,30.8,34
   15:16:25,30.1,33.1
   15:21:25,30,35
   15:26:25,29.7,37.2
   15:31:25,29.3,37.1
   15:36:25,29,36.4
   15:41:25,28.8,39.8
   15:46:25,28.5,37.3
   15:51:25,28.4,38.9
   15:56:25,28.3,37.5
   16:01:25,28.3,37.7
   16:06:25,28.5,40
   16:11:25,28.4,38.4
   16:16:25,28.2,39
   16:21:25,28,39.7
   16:26:25,27.9,39
   16:31:25,27.8,40.9
   16:36:25,27.6,42
   16:41:25,27.3,43.3
   16:46:25,27.2,45.1
   16:51:25,27,43
   16:56:25,26.7,45.3
   17:01:25,26.4,44.4
   17:06:25,26.1,43.7
   17:11:25,26,47.5
   17:16:25,26.1,48.3
   17:21:25,26.5,48.2
   17:26:25,26.7,44.9
   17:31:25,26.7,50
   17:36:25,26.5,50.8
   17:41:25,26.3,51.2
   17:46:25,26,51.8
   17:51:25,25.7,51
   17:56:25,25.3,50.3
   18:01:25,25.3,52.4
   18:06:25,25.1,53
   18:11:25,24.8,52.8
   18:16:25,24.4,55.9
   18:21:25,24,56.7
   18:26:25,23.6,59.2
   18:31:25,23.3,61.7
   18:36:25,23,64.2
   18:41:25,22.8,68.5
   18:46:25,22.8,70.1
   18:51:25,22.7,72.7
   18:56:25,22.6,72.8
   19:01:25,22.6,73.1
   19:06:25,22.5,72.6
   19:11:25,22.4,73.3
   19:16:25,22.3,74.2
   19:21:25,22.2,75.7
   19:26:25,22.1,76.3
   19:31:25,22,77.1
   19:36:25,21.8,77.3
   19:41:25,21.7,78.2
   19:46:25,21.6,79
   19:51:25,21.4,80
   19:56:25,21.3,80.5
   20:01:25,21.1,81.1
   20:06:25,20.9,81.7
   20:11:25,20.7,83
   20:16:25,20.5,84
   20:21:25,20.3,85
   20:26:25,20.2,85.5
   20:31:25,20.1,86.4
   20:36:25,19.9,86.7
   20:41:25,19.8,87.7
   20:46:25,19.7,87.5
   20:51:25,19.6,88.4
   20:56:25,19.5,88.5
   21:01:25,19.4,88.6
   21:06:25,19.3,89.2
   21:11:25,19.2,89.2
   21:16:25,19.1,89.6
   21:21:25,19.1,90.3
   21:26:25,19,90.7
   21:31:25,18.9,90.6
   21:36:25,18.9,91.6
   21:41:25,18.9,91
   21:46:25,18.8,91.4
   21:51:25,18.8,91.4
   21:56:25,18.7,91.1
   22:01:25,18.7,90.5
   22:06:25,18.6,91
   22:11:25,18.6,91.3
   22:16:25,18.6,91.8
   22:21:25,18.6,92.6
   22:26:25,18.6,92.6
   22:31:25,18.6,93.2
   22:36:25,18.6,92.9
